OID_,tl_2019_26_bg_GEOID,MEAN_PM25_AVG,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,Total,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,GEO_ID,OBJECTID_1,Total_,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,GEO_ID_1,OBJECTID_12,Total1,Not_Hispanic_or_Latino,Hispanic_or_Latino,GEO_ID_12,OBJECTID_12_13,Total1_1,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races_,Two_races_including_Some_other_race,Two_races_excluding_Some_other_race__and_three_or_more_races,GEO_ID_12_13,OBJECTID_12_13_14,Median_age,Median_age___Male,Median_age___Female,GEO_ID_12_13_14,OBJECTID_12_13_14_15,Estimate__Total,GEO_ID_12_13_14_15,OBJECTID_12_13_14_15_16,GEOID_1,area1,percent1,area4,percent4,OBJECTID_12_13_14_15_16_17,tl_2019_26_bg_GEOID_1,MEAN_gridcode,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
146,2.61635E+11,8.178495,529,26,163,506400,2,261635064002.00,Block Group 2,G5030,S,494901,0,42.4216701,-83.0612682,146,156,31,21,6,15,7,6,0,16,32,0,22,0,0,0,0,0,2.61635E+11,,255,7,0,0,0,0,0,0,0,0,0,7,33,0,7,0,74,15,20,37,34,21,0,0,0,,,,514,0,,,,25,468,0,0,0,0,21,0,21,,,24.9,32.2,24.7,,,514,,,,107850.6067,21.79238182,14399.9995,2.90967568,,,5503305.649,,,0.039806701,5.41338E-05
147,2.61635E+11,8.178495,530,26,163,506400,3,261635064003.00,Block Group 3,G5030,S,697753,0,42.4241408,-83.0528936,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61635E+11,,1047,72,0,0,0,0,0,0,0,0,26,9,13,42,61,9,156,387,143,110,5,12,0,0,2,,,,1072,53,,,,502,562,5,4,0,0,52,12,40,,,38,38,33.5,,,1125,,,,46757.47155,6.701144519,1592.322974,0.228207087,,,2878741.521,,,0.0469293,7.63255E-05
148,2.61635E+11,8.178495,124,26,163,506500,1,261635065001.00,Block Group 1,G5030,S,323217,0,42.4299885,-83.041224,148,152,18,6,7,20,0,10,11,4,27,7,20,11,11,0,0,0,2.61635E+11,,374,12,0,0,0,0,0,0,0,0,0,16,0,0,66,16,119,45,17,42,0,41,0,0,0,,,,477,33,,,,0,510,0,0,0,0,0,0,0,,,31.3,26.9,53.2,,,510,,,,94696.258,29.29786266,5404.703181,1.672148983,,,4516513.417,,,0.02429036,3.53593E-05
149,2.61635E+11,8.178495,128,26,163,506500,2,261635065002.00,Block Group 2,G5030,S,361409,0,42.429861,-83.0463678,149,302,79,18,40,0,54,28,20,5,0,20,8,3,21,0,0,6,2.61635E+11,,566,0,0,0,0,0,0,0,0,0,0,0,29,41,106,12,208,17,12,90,38,6,7,0,0,,,,806,0,,,,0,806,0,0,0,0,0,0,0,,,38.4,32.8,41.9,,,806,,,,126244.3051,34.93103567,10187.84671,2.818915566,,,3780153.88,,,0.025422751,3.95373E-05
150,2.61635E+11,8.178495,519,26,163,506500,3,261635065003.00,Block Group 3,G5030,S,271317,0,42.429762,-83.0511281,150,310,30,55,32,0,15,37,43,0,15,20,12,23,10,18,0,0,2.61635E+11,,534,0,0,0,0,0,24,0,0,0,0,0,6,17,0,12,127,54,0,208,36,50,0,0,0,,,,812,13,,,,18,807,0,0,0,0,0,0,0,,,30.7,30.7,30.7,,,825,,,,108556.8452,40.01091417,3276.344464,1.207565832,,,2778164.833,,,0.022705097,2.96814E-05
151,2.61635E+11,8.178495,531,26,163,506600,1,261635066001.00,Block Group 1,G5030,S,258799,0,42.4368828,-83.0559782,151,278,79,48,52,7,15,0,52,0,0,22,0,0,0,0,3,0,2.61635E+11,,428,17,0,0,0,0,0,0,0,0,0,44,0,7,26,0,98,86,8,77,65,0,0,0,0,,,,679,3,,,,13,669,0,0,0,0,0,0,0,,,39.2,27.5,41.9,,,682,,,,101268.1992,39.13038286,2052.687689,0.793165631,,,2656925,,,0.02225845,2.83148E-05
152,2.61635E+11,8.178495,532,26,163,506600,2,261635066002.00,Block Group 2,G5030,S,449677,0,42.4370111,-83.050582,152,518,34,52,0,50,74,89,37,36,22,61,12,9,2,21,7,12,2.61635E+11,,846,33,0,0,28,0,0,0,0,0,5,0,10,21,36,0,297,33,15,199,72,63,34,0,0,,,,1213,104,,,,90,1117,0,59,0,51,0,0,0,,,34,31.7,34.3,,,1317,,,,142530.6384,31.69620231,7552.009564,1.679428548,,,2979121.64,,,0.028067655,4.9199E-05
153,2.61635E+11,8.178495,197,26,163,506600,3,261635066003.00,Block Group 3,G5030,S,234721,0,42.4371011,-83.045358,153,110,0,29,0,0,0,11,34,16,0,18,0,0,2,0,0,0,2.61635E+11,,284,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,140,0,0,69,0,2,0,0,0,,,,284,0,,,,3,281,0,0,0,0,0,0,0,,,62.4,36.3,75.4,,,284,,,,69078.63799,29.43014621,5759.545313,2.453786953,,,4844812.048,,,0.021529279,2.56807E-05
154,2.61635E+11,8.178495,533,26,163,506600,4,261635066004.00,Block Group 4,G5030,S,293723,0,42.4372046,-83.0413188,154,206,41,0,0,29,14,0,47,0,64,0,0,0,0,11,0,0,2.61635E+11,,502,70,54,0,0,0,0,0,0,0,0,0,0,0,69,1,178,14,16,51,35,14,0,0,0,,,,1140,0,,,,9,1131,0,0,0,0,0,0,0,,,21,18.5,37.2,,,1140,,,,82817.24347,28.19558627,6124.882914,2.085250093,,,4852916.25,,,0.023255924,3.21363E-05
155,2.61635E+11,8.178495,534,26,163,506700,1,261635067001.00,Block Group 1,G5030,S,935171,0,42.4441868,-83.046581,155,401,30,14,18,28,53,46,0,0,42,85,36,20,15,0,14,0,2.61635E+11,,689,1,0,0,0,0,0,6,0,11,5,14,22,8,24,0,222,62,22,202,39,15,23,9,4,,,,1049,17,,,,55,1011,0,0,0,0,0,0,0,,,38.6,40.9,35.3,,,1066,,,,111774.3341,11.95227431,18341.75281,1.961323794,,,7169220.283,,,0.043152496,0.000102328
156,2.61635E+11,8.178495,97,26,163,506800,1,261635068001.00,Block Group 1,G5030,S,227709,0,42.4436447,-83.0746383,156,411,130,32,90,0,48,24,12,20,0,12,27,8,8,0,0,0,2.61635E+11,,675,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,219,98,47,179,27,76,0,0,0,,,,941,0,,,,86,855,0,0,0,0,0,0,0,,,43.7,50.8,41.6,,,941,,,,61549.40966,27.02985788,2992.548716,1.3141989,,,7371475.067,,,0.02117154,2.49161E-05
157,2.61635E+11,8.178495,98,26,163,506800,2,261635068002.00,Block Group 2,G5030,S,313253,0,42.4441162,-83.0790711,157,362,51,21,21,25,81,23,0,60,0,39,39,0,0,0,2,0,2.61635E+11,,552,20,0,0,0,0,0,0,0,0,0,0,0,0,54,11,123,13,14,214,82,21,0,0,0,,,,885,0,,,,10,875,0,0,0,0,0,0,0,,,31.1,33.9,29.5,,,885,,,,32690.75014,10.43593919,3600.001611,1.149236336,,,9701991.962,,,0.024902288,3.42766E-05
158,2.61635E+11,8.178495,709,26,163,506800,3,261635068003.00,Block Group 3,G5030,S,1017410,0,42.4438471,-83.0618582,158,682,126,49,7,66,43,55,52,75,0,47,106,10,19,27,0,0,2.61635E+11,,1176,9,0,0,0,0,0,0,0,86,0,11,25,57,8,30,461,86,85,110,115,61,21,0,11,,,,1721,0,,,,33,1588,0,0,0,17,83,0,83,,,42.8,41.1,47.3,,,1721,,,,122923.505,12.08199027,10711.85865,1.052854554,,,8043710.25,,,0.045963603,0.000111326
159,2.61635E+11,8.178495,96,26,163,506800,4,261635068004.00,Block Group 4,G5030,S,190496,0,42.4436834,-83.0713604,159,151,14,0,8,24,34,8,0,0,0,38,0,20,0,5,0,0,2.61635E+11,,237,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,116,12,0,24,54,5,0,8,0,,,,343,0,,,,0,343,0,0,0,0,0,0,0,,,43.9,61,38.8,,,343,,,,27280.78903,14.32082173,,,,,9064133.8,,,0.019938775,2.08444E-05
160,2.61635E+11,8.178495,132,26,163,506900,1,261635069001.00,Block Group 1,G5030,S,210566,0,42.436806,-83.059546,160,260,82,6,33,0,12,33,23,0,0,17,31,14,0,0,0,9,2.61635E+11,,533,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,134,31,9,205,76,39,0,0,0,,,,773,0,,,,0,773,0,0,0,0,0,0,0,,,28,27.4,35.9,,,773,,,,63992.38865,30.39064988,1799.999713,0.854838555,,,2533267.353,,,0.020835696,2.30379E-05
161,2.61635E+11,8.178495,159,26,163,506900,2,261635069002.00,Block Group 2,G5030,S,210961,0,42.4367413,-83.062748,161,254,0,0,28,35,7,51,0,14,8,18,28,53,12,0,0,0,2.61635E+11,,432,20,0,0,0,0,0,0,0,0,0,0,0,56,39,12,124,10,34,99,25,13,0,0,0,,,,728,0,,,,39,652,0,0,0,0,37,0,37,,,30.7,26.1,34.5,,,728,,,,37535.34174,17.79255433,4499.997754,2.133095126,,,4169815.778,,,0.020812041,2.3081E-05
162,2.61635E+11,8.178495,120,26,163,506900,3,261635069003.00,Block Group 3,G5030,S,200406,0,42.436685,-83.0658662,162,180,47,0,0,56,0,0,31,10,0,0,36,0,0,0,0,0,2.61635E+11,,372,0,0,0,0,0,0,0,0,0,0,0,24,0,0,17,153,58,11,65,44,0,0,0,0,,,,519,0,,,,0,519,0,0,0,0,0,0,0,,,41,27,54.6,,,519,,,,57744.23212,28.81346917,3599.999762,1.796343606,,,3244645.368,,,0.020532017,2.19263E-05
163,2.61635E+11,8.178495,99,26,163,506900,4,261635069004.00,Block Group 4,G5030,S,201359,0,42.4366174,-83.0689029,163,252,37,0,71,0,25,0,43,31,0,0,0,21,24,0,0,0,2.61635E+11,,516,0,0,0,0,0,0,0,0,0,0,26,5,90,0,0,94,109,19,85,13,75,0,0,0,,,,760,0,,,,0,743,0,0,0,0,17,0,17,,,28,34.6,26.3,,,760,,,,46239.60021,22.96379609,899.9982123,0.446962676,,,2627327.867,,,0.020581521,2.20304E-05
164,2.61635E+11,8.178495,637,26,163,506900,5,261635069005.00,Block Group 5,G5030,S,385020,0,42.4370286,-83.0735212,164,349,24,13,35,30,72,14,16,21,0,60,64,0,0,0,0,0,2.61635E+11,,534,1,0,0,0,0,0,0,0,0,0,0,0,80,22,0,134,8,48,134,51,31,25,0,0,,,,791,0,,,,38,730,0,0,0,23,0,0,0,,,41.1,36.9,43.9,,,791,,,,112849.8391,29.31023505,6300.000204,1.636284892,,,3592808.793,,,0.027675609,4.21247E-05
165,2.61635E+11,8.178495,198,26,163,507000,1,261635070001.00,Block Group 1,G5030,S,359579,0,42.4296775,-83.0558848,165,491,234,10,50,16,22,64,27,26,8,0,34,0,0,0,0,0,2.61635E+11,,836,8,0,0,0,0,0,0,0,0,0,0,0,75,114,56,214,68,23,168,51,20,39,0,0,,,,1468,0,,,,44,1410,0,0,0,0,14,0,14,,,31.5,31.1,31.9,,,1468,,,,112426.8544,31.26622663,1476.349213,0.410576897,,,5009731.133,,,0.025319684,3.93369E-05
166,2.61635E+11,8.178495,364,26,163,507000,2,261635070002.00,Block Group 2,G5030,S,489189,0,42.4297749,-83.0623951,166,335,40,11,27,0,29,24,43,72,38,0,35,0,16,0,0,0,2.61635E+11,,448,0,0,0,0,0,0,0,0,0,0,8,0,0,11,8,135,70,20,98,0,75,23,0,0,,,,844,0,,,,39,762,0,0,0,0,43,0,43,,,26.9,26.6,32.3,,,844,,,,103653.0426,21.18869158,6299.999723,1.287842091,,,3281740.696,,,0.032744906,5.3516E-05
167,2.61635E+11,8.178495,365,26,163,507000,3,261635070003.00,Block Group 3,G5030,S,337239,0,42.4295967,-83.0686286,167,208,34,37,0,35,18,0,11,0,9,0,8,29,27,0,0,0,2.61635E+11,,409,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,49,65,63,138,0,37,7,0,0,,,,644,0,,,,0,644,0,0,0,0,0,0,0,,,34.1,25.4,34.8,,,644,,,,67555.93522,20.03194576,4176.351678,1.238387863,,,3438775.656,,,0.02766856,3.68931E-05
168,2.61635E+11,8.178495,366,26,163,507100,1,261635071001.00,Block Group 1,G5030,S,211730,0,42.4303727,-83.0744385,168,92,0,15,0,0,37,9,0,0,0,0,10,9,0,0,12,0,2.61635E+11,,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,77,0,0,29,0,24,0,0,24,,,,211,0,,,,10,172,0,0,0,0,29,0,29,,,50.7,42.8,53.4,,,211,,,,62294.62236,29.42178245,8099.998428,3.825633459,,,3676697.55,,,0.020267286,2.31628E-05
169,2.61635E+11,8.178495,367,26,163,507100,2,261635071002.00,Block Group 2,G5030,S,243075,0,42.4306041,-83.0799132,169,361,138,0,43,0,0,0,30,10,0,6,76,30,28,0,0,0,2.61635E+11,,631,0,0,0,0,0,0,0,0,0,0,0,0,30,0,19,186,22,72,193,20,58,31,0,0,,,,1046,0,,,,2,1044,0,0,0,0,0,0,0,,,34.8,27.3,38.3,,,1046,,,,87970.7219,36.19100706,3140.063584,1.291816878,,,2051190.333,,,0.020769587,2.65919E-05
170,2.61635E+11,8.178495,708,26,163,507100,3,261635071003.00,Block Group 3,G5030,S,245548,0,42.424534,-83.0766808,170,125,62,15,8,0,12,10,0,0,10,0,8,0,0,0,0,0,2.61635E+11,,208,1,0,0,0,0,0,0,0,0,1,0,45,0,0,8,46,50,0,18,31,8,0,0,0,,,,310,0,,,,1,275,34,0,0,0,0,0,0,,,29.8,29.2,61.2,,,310,,,,116439.0705,47.42000973,5976.340482,2.433874838,,,1532321.857,,,0.027396583,2.68601E-05
171,2.61635E+11,8.178495,363,26,163,507100,4,261635071004.00,Block Group 4,G5030,S,379314,0,42.4265371,-83.0749405,171,259,82,11,43,0,7,0,23,0,40,0,0,43,10,0,0,0,2.61635E+11,,473,0,0,0,0,0,0,0,0,0,0,72,0,0,10,0,57,48,23,163,53,47,0,0,0,,,,515,0,,,,0,515,0,0,0,0,0,0,0,,,44.6,42.2,55.1,,,515,,,,74060.44329,19.52499371,15728.82823,4.146684229,,,2113032.73,,,0.038610877,4.14934E-05
172,2.61635E+11,8.178495,368,26,163,507200,1,261635072001.00,Block Group 1,G5030,S,225608,0,42.4209158,-83.0798106,172,186,42,0,46,0,0,18,0,0,8,43,15,0,14,0,0,0,2.61635E+11,,283,0,0,0,0,0,0,0,0,7,0,34,0,0,54,0,56,20,5,99,0,8,0,0,0,,,,442,0,,,,0,437,5,0,0,0,0,0,0,,,42.4,56.1,36.7,,,442,,,,102736.4301,45.53723415,3318.188029,1.470764607,,,2992349.941,,,0.019880778,2.46776E-05
173,2.61635E+11,8.178495,707,26,163,507200,2,261635072002.00,Block Group 2,G5030,S,529001,0,42.4209207,-83.0711853,173,255,60,48,29,34,16,20,0,0,0,17,7,10,0,0,14,0,2.61635E+11,,436,9,0,0,0,0,0,0,0,0,0,0,10,0,47,53,123,16,6,58,60,25,24,5,0,,,,649,0,,,,23,546,0,0,0,0,80,0,80,,,45.1,28.8,46.8,,,649,,,,144144.0838,27.24845402,7372.186119,1.393610263,,,3452606.468,,,0.034848436,5.78629E-05
174,2.61635E+11,8.178495,158,26,163,507300,1,261635073001.00,Block Group 1,G5030,S,342258,0,42.4289892,-83.085161,174,368,38,28,29,12,34,32,40,0,41,0,20,35,39,20,0,0,2.61635E+11,,683,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,203,0,66,287,89,0,9,0,11,,,,1066,0,,,,14,1052,0,0,0,0,0,0,0,,,38.5,24.6,49.3,,,1066,,,,102457.7671,29.93595342,11376.34576,3.323923274,,,1875973.714,,,0.024999645,3.74414E-05
175,2.61635E+11,8.178495,369,26,163,507300,2,261635073002.00,Block Group 2,G5030,S,284004,0,42.4303201,-83.0910277,175,182,10,0,9,69,10,8,17,11,8,7,12,21,0,0,0,0,2.61635E+11,,331,0,0,0,0,0,0,0,0,0,0,8,0,13,9,10,110,26,30,56,40,17,12,0,0,,,,389,16,,,,0,405,0,0,0,0,0,0,0,,,56,39.6,60.1,,,405,,,,94812.07832,33.38375251,4216.198016,1.484541987,,,14322350.18,,,0.02278174,3.10698E-05
176,2.61635E+11,8.178495,712,26,163,507300,3,261635073003.00,Block Group 3,G5030,S,683617,0,42.4232113,-83.0876657,176,188,28,8,0,0,0,73,18,9,16,0,11,11,14,0,0,0,2.61635E+11,,266,0,0,0,0,0,0,0,0,0,0,26,0,29,0,0,107,28,0,28,27,1,20,0,0,,,,463,8,,,,10,436,0,0,0,0,25,0,25,,,43.3,23.8,50.3,,,471,,,,345257.1152,50.50464279,15866.55046,2.320978853,,,12525676.33,,,0.038761009,7.47778E-05
177,2.61635E+11,8.178495,371,26,163,507400,1,261635074001.00,Block Group 1,G5030,S,247293,0,42.4341219,-83.0799191,177,174,30,0,31,0,17,9,0,0,41,23,23,0,0,0,0,0,2.61635E+11,,364,9,0,0,0,0,0,0,12,0,0,0,0,0,12,11,136,15,0,95,42,32,0,0,0,,,,360,48,,,,21,316,33,0,0,34,4,0,4,,,46.1,47,45.2,,,408,,,,65511.85649,26.49150448,9829.039892,3.974640138,,,4472145.379,,,0.027178421,2.70551E-05
178,2.61635E+11,8.178495,620,26,163,507400,2,261635074002.00,Block Group 2,G5030,S,523281,0,42.4375532,-83.0890879,178,431,135,27,44,18,33,15,27,0,23,56,28,25,0,0,0,0,2.61635E+11,,676,55,0,0,0,0,0,0,0,0,0,0,0,9,0,13,235,0,24,295,19,0,18,8,0,,,,963,0,,,,0,963,0,0,0,0,0,0,0,,,46.7,38.1,47.9,,,963,,,,127250.0699,24.31771683,7776.347527,1.486073974,,,8825362.864,,,0.033847126,5.72525E-05
179,2.61635E+11,8.178495,370,26,163,507400,3,261635074003.00,Block Group 3,G5030,S,248813,0,42.4375281,-83.0800326,179,229,36,25,0,20,19,30,17,0,0,10,15,0,40,0,17,0,2.61635E+11,,371,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,79,26,40,159,0,34,12,0,0,,,,484,0,,,,0,484,0,0,0,0,0,0,0,,,49.3,49.4,31,,,484,,,,102504.0332,41.1972674,2700.003676,1.08515509,,,2710962.393,,,0.022185628,2.72227E-05
180,2.61635E+11,8.178495,662,26,163,507400,4,261635074004.00,Block Group 4,G5030,S,220212,0,42.4338984,-83.0901873,180,105,30,8,9,14,0,0,0,44,0,0,0,0,0,0,0,0,2.61635E+11,,156,0,0,0,0,0,0,0,0,0,0,0,0,53,11,0,32,8,27,25,0,0,0,0,0,,,,305,0,,,,0,305,0,0,0,0,0,0,0,,,29.3,59.4,29,,,305,,,,80162.24754,36.40232654,4216.195339,1.914608487,,,11882833.67,,,0.024148778,2.40921E-05
181,2.61635E+11,8.178495,618,26,163,507500,1,261635075001.00,Block Group 1,G5030,S,375006,0,42.4453688,-83.0896318,181,444,96,89,30,0,55,18,0,42,16,58,9,6,19,0,0,6,2.61635E+11,,608,0,0,0,0,0,0,0,0,18,0,10,19,6,45,30,121,52,46,150,56,49,6,0,0,,,,799,0,,,,34,755,10,0,0,0,0,0,0,,,47.9,53.5,46.4,,,799,,,,64819.93493,17.28503405,7482.022408,1.995173433,,,8015763.289,,,0.039380957,4.10339E-05
182,2.61635E+11,8.178495,372,26,163,507500,2,261635075002.00,Block Group 2,G5030,S,251183,0,42.4424218,-83.0872426,182,312,62,30,48,26,8,33,6,9,26,25,7,28,0,4,0,0,2.61635E+11,,562,0,0,0,0,0,0,0,0,0,0,0,12,8,0,12,262,73,37,110,10,23,15,0,0,,,,844,0,,,,23,821,0,0,0,0,0,0,0,,,39.7,31.8,40.6,,,844,,,,60557.9367,24.10912513,3599.995802,1.433218402,,,1418640.933,,,0.021019724,2.74841E-05
183,2.61635E+11,8.178495,711,26,163,507500,3,261635075003.00,Block Group 3,G5030,S,267246,0,42.4427293,-83.0927957,183,105,43,12,0,13,6,0,6,13,0,0,0,5,0,0,0,7,2.61635E+11,,188,25,0,8,0,0,0,0,0,0,0,0,13,0,0,18,62,18,25,13,0,6,0,0,0,,,,226,0,,,,53,173,0,0,0,0,0,0,0,,,41.1,40.7,52.6,,,226,,,,33918.46802,12.69179221,900.0001029,0.336766811,,,23472011.96,,,0.02425005,2.9242E-05
184,2.61635E+11,8.178495,619,26,163,507800,1,261635078001.00,Block Group 1,G5030,S,801739,0,42.4216399,-83.0964252,184,110,62,11,4,0,0,0,7,0,0,13,0,2,11,0,0,0,2.61635E+11,,221,5,0,0,0,0,0,0,0,0,0,9,20,0,65,10,48,22,0,7,28,7,0,0,0,,,,389,0,,,,11,378,0,0,0,0,0,0,0,,,41.1,21.4,44.7,,,389,,,,139491.4874,17.39864087,12356.96953,1.541273084,,,9921210.125,,,0.040671901,8.76965E-05
185,2.61635E+11,8.178495,539,26,163,507800,2,261635078002.00,Block Group 2,G5030,S,468827,0,42.429098,-83.0980867,185,43,14,19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2.61635E+11,,67,0,0,0,0,0,0,0,0,0,0,0,0,1,49,10,1,1,0,1,0,0,0,0,4,,,,63,4,,,,1,62,1,0,0,0,3,0,3,,,36.7,36.7,,,,67,,,,41342.82414,8.818349359,2416.196376,0.515370302,,,13499923.37,,,0.031333495,5.12878E-05
186,2.61635E+11,8.178495,540,26,163,507900,1,261635079001.00,Block Group 1,G5030,S,343557,0,42.4306383,-83.1081465,186,120,19,13,23,5,5,22,6,24,0,0,0,3,0,0,0,0,2.61635E+11,,145,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,101,0,5,24,0,1,0,0,0,,,,209,6,,,,86,129,0,0,0,0,0,0,0,,,35.7,35.5,37.6,,,215,,,,89505.87329,26.05259564,1800.002312,0.523929109,,,5324391.36,,,0.030286919,3.7585E-05
187,2.61635E+11,8.178495,541,26,163,507900,2,261635079002.00,Block Group 2,G5030,S,266433,0,42.4209575,-83.1045141,187,92,20,8,12,12,10,4,0,0,0,23,3,0,0,0,0,0,2.61635E+11,,125,0,0,0,0,0,0,0,0,0,0,0,0,12,5,8,25,0,15,7,38,10,5,0,0,,,,131,0,,,,12,116,0,0,0,0,3,0,3,,,59.3,52.6,62,,,131,,,,77938.09158,29.25235399,900.0010302,0.337795655,,,4924473.577,,,0.021863032,2.9143E-05
188,2.61635E+11,8.178495,165,26,163,507900,3,261635079003.00,Block Group 3,G5030,S,196957,0,42.4279152,-83.1071477,188,162,0,6,0,8,14,19,5,0,0,23,28,21,29,5,0,4,2.61635E+11,,389,6,0,0,0,0,0,0,0,0,0,7,0,0,45,0,90,45,12,96,0,26,18,10,34,,,,611,0,,,,53,544,0,0,0,0,14,0,14,,,28.9,26.1,38.9,,,611,,,,66091.42151,33.55622137,1476.342485,0.749574969,,,3216007.765,,,0.024533991,2.15459E-05
189,2.61635E+11,8.178495,542,26,163,507900,4,261635079004.00,Block Group 4,G5030,S,253907,0,42.4251615,-83.106287,189,82,24,8,0,0,17,0,0,0,15,12,0,6,0,0,0,0,2.61635E+11,,117,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,17,41,0,0,0,24,0,0,0,,,,145,0,,,,6,127,0,0,0,0,12,0,12,,,56.3,59.2,56,,,145,,,,49472.78062,19.48447971,899.9985488,0.354457608,,,2885769.391,,,0.023977792,2.77748E-05
190,2.61635E+11,8.178495,621,26,163,508000,1,261635080001.00,Block Group 1,G5030,S,534773,0,42.4342583,-83.1093932,190,108,38,17,0,16,0,0,20,0,4,4,0,0,0,9,0,0,2.61635E+11,,144,7,0,0,0,0,0,0,0,0,0,0,5,15,19,6,19,0,20,33,20,0,0,0,0,,,,289,0,,,,21,259,0,0,0,0,9,0,9,,,23.9,43.8,20.6,,,289,,,,62545.69112,11.69577104,5368.885553,1.003958147,,,4973742.743,,,0.039264247,5.85065E-05
191,2.61635E+11,8.178495,758,26,163,508000,2,261635080002.00,Block Group 2,G5030,S,1246133,0,42.4413496,-83.1149245,191,546,241,91,66,53,14,22,5,13,26,0,7,8,0,0,0,0,2.61635E+11,,607,13,0,7,0,0,0,0,0,7,0,0,18,58,78,13,191,19,35,76,79,6,7,0,0,,,,984,0,,,,14,941,0,0,0,8,21,0,21,,,33.7,35.2,33.5,,,984,,,,106392.966,8.53784646,7594.684986,0.609459974,,,8287842.828,,,0.053923576,0.000136348
192,2.61635E+11,8.178495,782,26,163,508100,1,261635081001.00,Block Group 1,G5030,S,682984,0,42.4385985,-83.1029032,192,116,0,34,24,0,8,7,0,7,0,0,5,0,25,6,0,0,2.61635E+11,,235,1,0,0,0,0,0,0,0,0,0,0,0,8,0,6,90,8,15,55,9,21,11,11,0,,,,279,0,,,,80,199,0,0,0,0,0,0,0,,,53.5,53.8,49.9,,,279,,,,197537.481,28.92263056,7109.379096,1.040926228,,,4944133.755,,,0.056107836,7.47271E-05
193,2.61635E+11,8.178495,536,26,163,508100,2,261635081002.00,Block Group 2,G5030,S,246411,0,42.4416409,-83.0995838,193,60,0,0,7,14,0,15,7,0,0,6,0,0,11,0,0,0,2.61635E+11,,77,0,0,0,0,0,0,0,0,0,0,0,7,7,14,0,12,0,18,8,0,11,0,0,0,,,,213,0,,,,7,206,0,0,0,0,0,0,0,,,18.7,24.4,15.2,,,213,,,,96720.96877,39.25162446,4702.696444,1.908463874,,,7602882.208,,,0.024834196,2.69619E-05
194,2.61635E+11,8.178495,537,26,163,508100,3,261635081003.00,Block Group 3,G5030,S,273348,0,42.4457353,-83.1054041,194,121,19,14,5,0,0,59,17,0,0,0,7,0,0,0,0,0,2.61635E+11,,185,7,0,0,0,0,0,0,0,0,0,0,0,15,14,6,63,1,7,47,9,9,7,0,0,,,,198,48,,,,34,157,0,0,0,0,55,0,55,,,40,42.3,31.3,,,246,,,,99842.05993,36.52569238,3275.545411,1.19830825,,,9911886.69,,,0.028607757,2.99109E-05
195,2.61635E+11,8.178495,783,26,163,508100,4,261635081004.00,Block Group 4,G5030,S,190968,0,42.4445976,-83.0972891,195,95,73,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,2.61635E+11,,196,18,0,0,0,0,0,0,0,0,0,0,0,14,42,28,60,0,16,18,0,0,0,0,0,,,,274,0,,,,23,251,0,0,0,0,0,0,0,,,28.6,28.4,28.7,,,274,,,,68823.56595,36.03935001,5126.353658,2.684406877,,,16254289.47,,,0.018254629,2.08962E-05
196,2.61635E+11,8.178495,538,26,163,508100,5,261635081005.00,Block Group 5,G5030,S,180609,0,42.4373124,-83.0971986,196,78,24,6,0,7,0,0,8,0,16,0,5,0,0,12,0,0,2.61635E+11,,191,0,0,0,0,0,0,0,0,0,0,0,11,7,26,0,76,8,5,45,6,0,7,0,0,,,,131,109,,,,109,131,0,0,0,0,0,0,0,,,33.4,31.3,54.6,,,240,,,,79284.36413,43.89859589,,,,,12223154.62,,,0.01797,1.97603E-05
