,Loc ID,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,Directions,Category,LRS ID,LRS Loc Pt,Latitude,Longitude,Latest,Count
33,01-5018,Alcona,Greenbush,(4) Minor Arterial,U,CEDAR LAKE RD,,,SOUTH OF,Ridley Rd,2-WAY,NB/SB,Primary,1727110.0,4.93397,44.58125885,-83.32046707,743.0,743.0
34,01-5019,Alcona,Millen,(5) Major Collector,R,S Stout Rd,,,SOUTH OF,M-72,2-WAY,NB/SB,Primary,1729209.0,3.711527,44.6434916,-83.62511375,119.0,119.0
35,01-5020,Alcona,Mikado,(5) Major Collector,R,W Glennie Rd,,,EAST OF,Kimberlin Rd,2-WAY,EB/WB,Primary,1729509.0,2.60428,44.56838199,-83.64276139,510.0,510.0
36,01-5021,Alcona,Mitchell,(5) Major Collector,R,F 4001,,,WEST OF,AuSable Rd,2-WAY,EB/WB,Primary,3010074.0,4.426327,44.61161185,-83.84146303,324.0,324.0
37,01-5022,Alcona,Mitchell,(5) Major Collector,R,AuSable Rd,,,WEST OF,Aspen Alley Rd,2-WAY,NW/SE,Primary,3010081.0,0.6002578,44.64977059,-83.85421084,219.0,219.0
38,01-5023,Alcona,Mitchell,(5) Major Collector,R,ASPEN ALLEY RD,,,SW OF,M-72,2-WAY,NB/SB,Primary,1730609.0,10.72571,44.69334741,-83.80800932,345.0,345.0
39,01-5024,Alcona,Hawes,(5) Major Collector,R,E Apsey Rd,,,,E OF SOMERS W OF LAKE,2-WAY,EB/WB,Primary,1726805.0,1.428848,44.69558277,-83.4181897,663.0,663.0
40,01-5025,Alcona,Alcona,(5) Major Collector,R,SAND HILL RD,,,,N OF E BLACK RIVER RD,2-WAY,NB/SB,Primary,1729806.0,0.9948153,44.82753225,-83.3356388,87.0,87.0
41,02-0001,Alger,Munising,(5) Major Collector,R,H 58,,,SE OF,Cedar St,2-WAY,NW/SE,,1138809.0,26.81142,46.40943743,-86.64913123,4555.0,4555.0
42,02-0002,Alger,Grand Island,(3) Other Principal Arterial,R,M-28,,,NORTH OF,Westshore Dr,2-WAY,NB/SB,Primary,1138809.0,24.455,46.43580341,-86.65528847,6179.0,6179.0
43,02-0003,Alger,MUNISING,(3) Other Principal Arterial,R,M-28,,,NORTH OF,M-94,2-WAY,NB/SB,Primary,1139306.0,0.7280022,46.39769305,-86.64847216,7899.0,7899.0
44,02-0004,Alger,Munising,(3) Other Principal Arterial,R,M-28 M-94,,,SOUTH OF,M-94,2-WAY,NW/SE,Primary,1139306.0,1.137,46.39186305,-86.64780978,7411.0,7411.0
45,02-0005,Alger,Munising,(5) Major Collector,R,E Munising Ave,,,WEST OF,Foster St,2-WAY,EB/WB,Primary,1138809.0,27.27769,46.40892557,-86.6408525,6127.0,6127.0
46,02-0006,Alger,Limestone,(3) Other Principal Arterial,R,US-41,,,NW OF,Peterson Rd,2-WAY,NW/SE,Primary,1138003.0,4.171,46.20763628,-87.01087524,1997.0,1997.0
47,02-0007,Alger,Mathias,(3) Other Principal Arterial,R,US-41,,,SE OF,M-67,2-WAY,NB/SB,Primary,1138003.0,2.461,46.19397366,-86.98156438,3420.0,3420.0
48,02-0008,Alger,Munising,(3) Other Principal Arterial,R,M 28,,,WEST OF,Connors Rd,2-WAY,EB/WB,,1139306.0,2.911,46.38144423,-86.61596123,8052.0,8052.0
49,02-0010,Alger,Munising,(5) Major Collector,R,Connors Rd,,,NORTH OF,M 28,2-WAY,NB/SB,Primary,3770540.0,8.788856,46.382058,-86.61534272,1895.0,1895.0
50,02-0011,Alger,-,(3) Other Principal Arterial,R,M-28,,,WEST OF,H-15/M-94,2-WAY,EB/WB,Primary,1139306.0,10.36725,46.34802941,-86.47289924,3012.0,3012.0
51,02-0012,Alger,Munising,(7) Local Road or Street,R,E Munising Ave,,,EAST OF,Cedar St,2-WAY,EB/WB,,3020017.0,0.016027,46.40954288,-86.64980496,1794.0,1794.0
52,02-0014,Alger,Munising,(3) Other Principal Arterial,R,Cedar St,,,SOUTH OF,E Munising Ave,2-WAY,NE/SW,,3020504.0,0.021,46.40964515,-86.65007571,6334.0,6334.0
53,02-0020,Alger,Munising,(3) Other Principal Arterial,R,M 28,,,EAST OF,Connors Rd,2-WAY,EB/WB,,1139306.0,3.114,46.38082804,-86.61180731,6299.0,6299.0
54,02-0021,Alger,MUNISING,(3) Other Principal Arterial,R,M-28,,,SOUTH OF,E Munising Ave,2-WAY,NE/SW,Primary,3020504.0,0.094858,46.40870606,-86.65070178,7711.0,7711.0
55,02-0026,Alger,-,(4) Minor Arterial,R,M-94,,,EAST OF,Eben Rd,2-WAY,EB/WB,Primary,1138408.0,7.11,46.35484121,-86.9687145,1377.0,1377.0
56,02-0027,Alger,CHATHAM,(4) Minor Arterial,R,M-94,,,WEST OF,Rock River Rd,2-WAY,EB/WB,Primary,1138408.0,8.675,46.34757105,-86.94016718,1461.0,1461.0
57,02-0030,Alger,-,(4) Minor Arterial,R,M-94,,,WEST OF,Buckhorn Rd,2-WAY,EB/WB,Primary,1138701.0,10.452,46.33297253,-86.75271015,1853.0,1853.0
58,02-0032,Alger,Burt,(5) Major Collector,R,Adams Trl,,,WEST OF,M-77,2-WAY,EB/WB,Primary,1139305.0,35.52157,46.53583208,-86.03176985,74.0,74.0
59,02-0035,Alger,Mathias,(4) Minor Arterial,R,M-67,,,EAST OF,US 41,2-WAY,EB/WB,Primary,1138008.0,0.7450165,46.19502071,-86.97604745,1555.0,1555.0
60,02-0036,Alger,Munising,(4) Minor Arterial,R,Connors Rd,,,SOUTH OF,M 28,2-WAY,NB/SB,,3770540.0,8.678834,46.38046796,-86.61526436,2121.0,2121.0
61,02-0037,Alger,Burt,(5) Major Collector,R,Au Sable Point Trl,,,SOUTH OF,County Road 721,2-WAY,NB/SB,Primary,1139701.0,2.248683,46.55783272,-86.21200343,243.0,243.0
62,02-0056,Alger,Au Train,(3) Other Principal Arterial,R,M-28,,,EAST OF,Ridge Rd,2-WAY,EB/WB,Primary,1138809.0,19.602,46.44103594,-86.75108722,4727.0,4727.0
63,02-0057,Alger,-,(4) Minor Arterial,R,M-94,Munising Ave,Marquette St,BETWEEN,Munising Ave AND Marquette St,2-WAY,EB/WB,Primary,1138308.0,0.982,46.34695498,-86.92888601,1518.0,1518.0
64,02-1003,Alger,CHATHAM,(4) Minor Arterial,R,M-67,,,SOUTH OF,Tunteri Rd,2-WAY,NB/SB,Primary,1138008.0,12.225,46.32976484,-86.92877698,1306.0,1306.0
65,02-1004,Alger,CHATHAM,(4) Minor Arterial,R,M-94,,,EAST OF,Rock River Rd,2-WAY,EB/WB,Primary,1138701.0,2.195,46.3330842,-86.92471946,1910.0,1910.0
66,02-2209,Alger,-,(3) Other Principal Arterial,R,M-28,,,EAST OF,White Fish Rd,2-WAY,EB/WB,Primary,1138809.0,2.107,46.49290697,-87.0727051,2930.0,2930.0
67,02-2601,Alger,MUNISING,(3) Other Principal Arterial,R,M-28 MUNISING AVE.,,,,100 FT SE OF ELM ST,2-WAY,NW/SE,,1138809.0,26.503,46.41150512,-86.65481162,8986.0,8986.0
68,02-2602,Alger,MUNISING,(3) Other Principal Arterial,R,M-28 MUNISING AVE.,,,,100 FT NW OF ELM ST,2-WAY,NW/SE,,1138809.0,26.48,46.41167097,-86.65522811,8565.0,8565.0
69,02-2605,Alger,MUNISING,(3) Other Principal Arterial,R,M-28 MUNISING AVE.,,,NW OF,Cedar St,2-WAY,NW/SE,Primary,1138809.0,26.745,46.41001978,-86.65022278,9593.0,9593.0
70,02-2610,Alger,MUNISING,(3) Other Principal Arterial,R,M-28 MUNISING,,,NW OF,Hickory St,2-WAY,NW/SE,Primary,1138809.0,25.949,46.41675217,-86.66311401,7939.0,7939.0
71,02-2617,Alger,MUNISING,(3) Other Principal Arterial,R,M-28 M-94,,,,100 FT S.W. OF MILL ST.,2-WAY,NE/SW,,3020504.0,0.1183898,46.40840024,-86.65091891,8805.0,8805.0
72,02-2618,Alger,MUNISING,(7) Local Road or Street,R,SUPERIOR ST,,,,100 FT NW OF M-28 M-94,2-WAY,NW/SE,,1141902.0,1.006,46.40906988,-86.65092276,2850.0,2850.0
73,02-2619,Alger,MUNISING,(7) Local Road or Street,R,MILL ST,,,,100 FT SE OF M-28 M-94,2-WAY,NW/SE,,1139209.0,0.02,46.40845559,-86.65042103,539.0,539.0
74,02-5001,Alger,Limestone,(5) Major Collector,R,Limestone Traunik Rd,,,WEST OF,M-67,2-WAY,EB/WB,Primary,1138209.0,6.404871,46.26039064,-86.95459064,238.0,238.0
75,02-5002,Alger,Rock River,(5) Major Collector,R,EBEN TRENARY RD,,,NORTH OF,W Cold Spring Rd,2-WAY,NB/SB,Primary,1138108.0,9.787872,46.32615352,-86.97061244,578.0,578.0
76,02-5003,Alger,-,(5) Major Collector,R,TUNTERI RD,,,EAST OF,Benson Rd,2-WAY,EB/WB,Primary,1138701.0,0.7469995,46.33314899,-86.95499622,349.0,349.0
77,02-5004,Alger,-,(5) Major Collector,R,ROCK RIVER RD,,,SE OF,Usfs 2484 Rd,2-WAY,NB/SB,Primary,1138309.0,5.533774,46.43623528,-86.91961504,85.0,85.0
78,02-5005,Alger,-,(5) Major Collector,R,AU TRAIN FOREST LAKE,,,SW OF,M-28,2-WAY,NB/SB,Primary,1138706.0,6.381092,46.41456432,-86.84132693,742.0,742.0
79,02-5006,Alger,-,(5) Major Collector,R,TROUT LAKE RD,,,EAST OF,M-67,2-WAY,EB/WB,Primary,1138206.0,0.8736017,46.22391082,-86.90998067,120.0,120.0
80,02-5007,Alger,-,(5) Major Collector,R,RAPID RVR TRUCK TRL,,,SOUTH OF,Trout Lake Rd,2-WAY,NB/SB,Primary,6801130.0,5.103999,46.22876315,-86.84423318,46.0,46.0
81,02-5008,Alger,-,(5) Major Collector,R,BUCKHORN (FF2254 RD),,,SE OF,16 Mile Lake Rd,2-WAY,NB/SB,Primary,3020529.0,3.878361,46.32599744,-86.73224051,551.0,551.0
82,02-5009,Alger,-,(4) Minor Arterial,R,FF 13,,,SOUTH OF,M-28,2-WAY,NB/SB,Primary,3770540.0,7.593956,46.36478247,-86.61545348,1547.0,1547.0
83,02-5010,Alger,MUNISING,(5) Major Collector,R,SAND POINT RD,,,NE OF,E Munising Ave,2-WAY,NB/SB,Primary,1138809.0,28.67509,46.42428927,-86.62423871,2260.0,2260.0
84,02-5011,Alger,-,(5) Major Collector,R,H 58 (M.V.S RD),,,EAST OF,E Munising Ave,2-WAY,EB/WB,Primary,1139305.0,2.549391,46.41988158,-86.58329493,6127.0,6127.0
85,02-5012,Alger,-,(5) Major Collector,R,MINERS CASTLE RD,,,NORTH OF,Adams Trl,2-WAY,NB/SB,Primary,1142010.0,1.094213,46.43555827,-86.55298098,350.0,350.0
86,02-5013,Alger,-,(5) Major Collector,R,H 15 (M.V.S RD),,,NORTH OF,M-28,2-WAY,NB/SB,Primary,3020526.0,2.433617,46.38430653,-86.46989534,542.0,542.0
87,02-5014,Alger,-,(5) Major Collector,R,H 58,,,NE OF,H-15,2-WAY,EB/WB,Primary,1139305.0,11.13194,46.44891109,-86.43442182,1537.0,1537.0
88,02-5015,Alger,-,(5) Major Collector,R,NEWBERG RD,,,WEST OF,M 77,2-WAY,EB/WB,Primary,1139603.0,0.4730234,46.65740095,-85.99986524,327.0,327.0
89,02-5016,Alger,-,(5) Major Collector,R,H 58,,,EAST OF,M 77,2-WAY,EB/WB,Primary,1139703.0,1.198145,46.66953622,-85.96209983,930.0,930.0
90,02-5017,Alger,-,(5) Major Collector,R,H 58,,,WEST OF,M 77,2-WAY,EB/WB,Primary,1139701.0,18.97574,46.64625907,-86.04825024,782.0,782.0
91,02-5018,Alger,-,(5) Major Collector,R,CARLSON ST,,,WEST OF,M 77,2-WAY,EB/WB,Primary,1139701.0,22.91901,46.67192481,-85.99191386,934.0,934.0
92,02-5019,Alger,-,(5) Major Collector,R,PROSPECT ST,,,,WEST OF FED FOREST RD 13,2-WAY,EB/WB,Primary,1139401.0,0.5765357,46.37979798,-86.61712876,397.0,397.0
93,02-5020,Alger,-,(5) Major Collector,R,DEERTON RD,,,,SOUTH OF M-28,2-WAY,NB/SB,Primary,1138903.0,1.408434,46.49437343,-87.04339719,213.0,213.0
94,02-5021,Alger,-,(5) Major Collector,R,SUNDELL RD DORSEY RD,,,,N OF M-94,2-WAY,NB/SB,Primary,1138501.0,1.221744,46.35072521,-87.08515133,272.0,272.0
95,02-5022,Alger,Mathias,(5) Major Collector,R,WINTERS RD,,,,BTWN VOGEL AND SAVOLA,2-WAY,NB/SB,Primary,1138204.0,0.7089544,46.16914397,-86.92829773,107.0,107.0
96,03-0001,Allegan,-,(1) Interstate,R,I-196 OFF RAMP,,,,TO 109TH AVE,RAMP,NB,Primary,796603.0,0.084,42.48502423,-86.22086289,769.0,769.0
97,03-0003,Allegan,Laketown,(4) Minor Arterial,U,146th Ave,,,WEST OF,60th St,2-WAY,EB/WB,,783303.0,3.673486,42.75411187,-86.1395942,1797.0,1797.0
98,03-0004,Allegan,-,(4) Minor Arterial,R,M-179 129TH AVE,,,EAST OF,N US 131,2-WAY,EB/WB,Primary,797910.0,0.642,42.63038919,-85.66012844,8165.0,8165.0
99,03-0005,Allegan,HOLLAND,(3) Other Principal Arterial,U,WASHINGTON AVE,32nd St,W 33rd St,BETWEEN,32nd St AND W 33rd St,2-WAY,NB/SB,,3031548.0,2.157,42.76810937,-86.11681901,19974.0,19974.0
100,03-0006,Allegan,-,(5) Major Collector,R,48th St,,,NORTH OF,Lincoln Rd,2-WAY,NB/SB,,783508.0,0.5157318,42.68954767,-86.01499739,1508.0,1508.0
101,03-0007,Allegan,Fillmore,(4) Minor Arterial,R,58th St,,,SOUTH OF,Blue Star Hwy,2-WAY,NB/SB,,3030242.0,1.3924,42.70200114,-86.11407584,6586.0,6586.0
102,03-0015,Allegan,-,(3) Other Principal Arterial,U,M-89,,,,0.1 MI NW OF 113TH AVE,2-WAY,NW/SE,,788201.0,1.627,42.51418443,-85.83139864,15474.0,15474.0
103,03-0016,Allegan,-,(3) Other Principal Arterial,U,M-89,,,WEST OF,S US 131,2-WAY,EB/WB,Primary,788201.0,12.111,42.44992476,-85.66047282,24043.0,24043.0
104,03-0017,Allegan,-,(4) Minor Arterial,U,M-89,,,,BETWEEN FLORENCE ST & 8TH ST,2-WAY,EB/WB,Primary,785302.0,1.744,42.44291967,-85.62446266,8574.0,8574.0
105,03-0018,Allegan,-,(4) Minor Arterial,U,M-222,,,EAST OF,Eastern Ave,2-WAY,EB/WB,,787604.0,1.432,42.53372901,-85.83116144,6270.0,6270.0
106,03-0019,Allegan,-,(3) Other Principal Arterial,R,M-40,,,,100 FT NW OF 136TH AVE/VILLAGE OF HAMILTON,2-WAY,NW/SE,,788009.0,14.05,42.68222388,-86.01067814,13748.0,13748.0
107,03-0020,Allegan,Heath,(3) Other Principal Arterial,R,M-40,,,SE OF,136th Ave,2-WAY,NW/SE,Primary,788009.0,13.92239,42.68074881,-86.00916669,16072.0,16072.0
108,03-0021,Allegan,Heath,(5) Major Collector,R,136TH AVE,,,,W OF M-40/VILLAGE OF HAMILTON,2-WAY,EB/WB,,3030003.0,0.2866684,42.68200469,-86.01135267,4650.0,4650.0
109,03-0026,Allegan,-,(1) Interstate,R,I-196 ON RAMP,,,,FROM 109TH AVE,RAMP,NB,Primary,796604.0,0.152,42.4859392,-86.22101407,832.0,832.0
110,03-0028,Allegan,-,(1) Interstate,R,I-196 OFF RAMP,,,,TO 109TH AVE,RAMP,SB,Primary,796602.0,0.083,42.48251545,-86.22349862,764.0,764.0
111,03-0032,Allegan,-,(1) Interstate,R,I-196 US-31 OFF RAMP,,,,TO BLUE STAR HWY (SAUGATUCK TWP),RAMP,SW,Primary,782702.0,0.216,42.68359216,-86.17167531,4466.0,4466.0
112,03-0033,Allegan,-,(1) Interstate,R,I-196 US31 ON LOOP,,,,FROM BLUE STAR HWY(SAUGATUCK TWP),RAMP,SW,Primary,783510.0,0.123,42.68311105,-86.17155012,1074.0,1074.0
113,03-0034,Allegan,-,(1) Interstate,R,I-196 US-31 OFF RAMP,,,,TO BLUE STAR HWY (SAUGATUCK TWP),RAMP,NE,Primary,782703.0,0.208,42.68092456,-86.16844851,1067.0,1067.0
114,03-0035,Allegan,-,(1) Interstate,R,I-196 US31 ON LOOP,,,,FROM BLUE STAR HWY(SAUGATUCK TWP),RAMP,NE,Primary,783601.0,0.113,42.68144149,-86.16831603,4263.0,4263.0
115,03-0036,Allegan,-,(1) Interstate,U,I-196 OFF RAMP,,,,TO M-40(FILLMORE TWP) 49A,RAMP,NE,Primary,783102.0,0.232,42.74171449,-86.07274179,1250.0,1250.0
116,03-0037,Allegan,-,(1) Interstate,U,I-196 ON RAMP,,,,FROM M-40 (FILLMORE TWP) 49D,RAMP,SW,Primary,783103.0,0.148,42.7436259,-86.07466746,1893.0,1893.0
117,03-0038,Allegan,-,(1) Interstate,U,I-196 ON RAMP,,,,FROM M-40 (FILLMORE TWP) 49B,RAMP,NE,Primary,798208.0,0.136,42.74399632,-86.06890158,2234.0,2234.0
118,03-0039,Allegan,-,(1) Interstate,U,I-196 OFF RAMP,,,,TO M-40 (FILLMORE TWP) 49C,RAMP,SW,Primary,798306.0,0.24,42.74600609,-86.07122531,5858.0,5858.0
119,03-0040,Allegan,OTSEGO,(4) Minor Arterial,U,FARMER ST,,,,100FT N OF M-89 (ALLEGAN ST),2-WAY,NB/SB,,3030178.0,3.217,42.46078854,-85.69677028,7176.0,7176.0
120,03-0042,Allegan,Allegan,(3) Other Principal Arterial,R,M-40 M-89,,,SE OF,Allegan Dam Rd,2-WAY,NW/SE,Primary,788009.0,3.475,42.55752079,-85.89526023,9126.0,9126.0
121,03-0044,ALLEGAN,-,-,R,I-196 REST AREA,,,,1.5 MI N OF BLUE STAR HWY (SAUGATUCK REST AREA),1-WAY,SB,Rest Area,,,42.706981,-86.165605,700.0,700.0
122,03-0045,Allegan,Allegan,(3) Other Principal Arterial,R,M-40,,,SE OF,138th Ave,2-WAY,NW/SE,Primary,788009.0,15.194,42.69560538,-86.02393857,11815.0,11815.0
123,03-0049,Allegan,Trowbridge Twp - Allegan,(3) Other Principal Arterial,U,M-89,,,NW OF,26th St,2-WAY,NW/SE,Primary,788201.0,3.219071,42.50521,-85.80276,9521.0,9521.0
124,03-0055,Allegan,-,(4) Minor Arterial,R,M-222,,,EAST OF,24th St,2-WAY,EB/WB,Primary,787604.0,4.905,42.53713363,-85.76368552,8272.0,8272.0
125,03-0066,Allegan,-,(1) Interstate,U,I-196 OFF RAMP,,,,TO NORTHSHORE DR,RAMP,SB,Primary,796606.0,0.116,42.42800732,-86.25315576,932.0,932.0
126,03-0067,Allegan,-,(1) Interstate,U,I-196 ON RAMP,,,,FROM NORTH SHORE DR,RAMP,SB,Primary,796607.0,0.094,42.42516507,-86.25348223,319.0,319.0
127,03-0068,Allegan,-,(1) Interstate,U,I-196 ON RAMP,,,,FROM NORTHSHORE DR,RAMP,NB,Primary,796609.0,0.111,42.42801792,-86.2504976,707.0,707.0
128,03-0069,Allegan,-,(1) Interstate,U,I-196 OFF RAMP,,,,TO NORTHSHORE DR,RAMP,NB,Primary,796608.0,0.217,42.42500326,-86.25072467,417.0,417.0
129,03-0072,Allegan,HOLLAND,(3) Other Principal Arterial,U,OLD US-31 WASHINGTON,,,,BETWEEN US-31 AND MATT URBAN DR,2-WAY,NW/SE,Primary,3031548.0,1.292,42.75558323,-86.11633973,14877.0,14877.0
130,03-0073,Allegan,-,(3) Other Principal Arterial,U,M-40,,,SOUTH OF,Waverly Rd,2-WAY,NW/SE,Primary,788009.0,19.733,42.74868577,-86.07660799,16297.0,16297.0
131,03-0074,Allegan,-,(4) Minor Arterial,R,M-89,,,WEST OF,Wilson St,2-WAY,EB/WB,Primary,3030103.0,6.636,42.59432447,-86.09260374,3977.0,3977.0
132,03-0078,Allegan,-,(1) Interstate,R,I-196 ON RAMP,,,,FROM 109TH AVE,RAMP,SB,Primary,796601.0,0.155,42.48177507,-86.22346962,784.0,784.0
133,03-0080,Allegan,HOLLAND,(3) Other Principal Arterial,U,US-31,,,NE OF,Lincoln Ave,2-WAY,NE/SW,Primary,798206.0,3.589,42.76236079,-86.0943761,25608.0,25608.0
134,03-0081,Allegan,Holland,(2) Freeway & Expressway,U,US-31,,,SW OF,Central Ave,2-WAY,NE/SW,Primary,798206.0,2.809824,42.75752677,-86.10803968,18756.0,18756.0
135,03-0083,Allegan,-,(2) Freeway & Expressway,R,US-131,,,SE OF,142nd Ave,2-WAY,NW/SE,Primary,788506.0,20.55,42.71574107,-85.66560683,46644.0,46644.0
